gene_symbol	ensembl_gene_id
NT5E	ENSG00000135318
FBN1	ENSG00000166147
COL5A2	ENSG00000204262
COL6A2	ENSG00000142173
TNC	ENSG00000041982
COL1A1	ENSG00000108821
COL1A2	ENSG00000164692
SPARC	ENSG00000113140
BGN	ENSG00000182492
S100A10	ENSG00000197747
FSTL1	ENSG00000163430
CAMK2D	ENSG00000145349
CTSB	ENSG00000164733
THY1	ENSG00000154096
GPNMB	ENSG00000136235
NID1	ENSG00000116962
PPIC	ENSG00000168938
PRSS23	ENSG00000150687
EMP1	ENSG00000134531
CD63	ENSG00000135404
S100A11	ENSG00000163191
LGMN	ENSG00000100600
S100A13	ENSG00000189171
S100A4	ENSG00000196154
MYOF	ENSG00000138119
PLAC9	ENSG00000189129
TGFB1I1	ENSG00000140682
CTSZ	ENSG00000101160
